97848 100000
72064 34163 170190
43788 24223 27697886
93002 79609 6237004
48271 38669 60564516
29853 23277 4726152
8487 1722 6163187
50063 48413 721339131
42628 930 48917
29299 22070 410014
34777 31132 41439576
45366 705 36114
22754 18129 12011
31990 7231 4475320
48510 6566 891705093
1037 740 14483322
39717 10148 595358
20328 2040 276288
53511 27322 46132
77036 9480 95454364
83043 22973 140840
37317 21671 85567
47860 17510 55305950
64905 2929 826423713
49888 33129 622849
4181 833 9469
90544 4331 52076860
93114 26343 54994
56191 33858 88674
16595 10381 269187
35867 34197 89302983
36097 27327 615480
13156 4957 2596
66588 44282 1712603
43540 24653 55895
20917 7513 538073372
73405 29669 41592096
95155 55328 92756014
90294 71760 18954886
29905 28480 2366599
37386 4212 456368
4014 1353 56068
83759 37884 48230125
4078 252 87221570
30703 27230 36908
94895 63826 59813222
79174 72283 90404
69851 20281 42398167
77777 66892 245518
40856 15773 534686
42675 11270 9592870
57663 3650 891497229
9373 6991 869508557
5330 2083 82069
82138 44946 847722
83771 62553 20462
93274 83426 290276
29603 11504 20847891
94180 25414 43978
80169 44602 909891
80406 31696 31491883
25574 24741 624902498
50107 27881 52318
79618 14790 7921557
27543 18665 27599484
9177 5483 853793482
42045 31315 80129
64679 46405 23918
71727 57781 50446
30634 11954 5524
20102 9165 24396426
86527 33359 95861
53220 28690 777628
21677 11052 55975370
54248 26202 48595
28083 222 5288596
56435 19016 7710
26861 16676 785525
91875 64645 809883444
53878 31824 420916
73394 66432 96782
46324 7567 55901
27527 19111 4588488
5455 4904 297151039
76785 75609 534212
97192 71446 8378348
21910 2058 53021542
48214 41728 3935036
64153 58273 794296665
73981 47890 230090
94195 48629 30344
75240 10841 859130741
22940 18029 276226662
443 434 7932897
75162 33064 96624615
59155 49994 32109300
44820 22136 383492
12608 1567 5875673
26424 26255 701563
86947 6405 34699776
38246 22000 921869
75172 27547 733148
11125 720 37805695
16068 4006 215777828
93805 55485 5114009
57877 57441 485532242
13056 12921 55621546
60641 36172 18823
74897 65569 388097
51854 30483 456805
47705 20341 661238
94705 78902 47923
41357 5007 655057503
58986 1434 168061
17712 13245 360272411
42332 16310 412082
56326 25458 85970315
57044 26534 700548
7194 6607 991139603
39369 344 63158795
80312 63395 2577822
59135 34382 777890
12748 5094 32248
59921 47312 515930729
72963 10293 6818161
24704 3723 16079041
57176 12973 5132704
7408 5426 5897299
50221 10912 76126
57384 52977 5809546
96752 21539 446503
85572 12447 632235796
78296 46176 81807357
84893 80931 798154597
47709 11576 723493
65145 31442 96851
52386 15815 59559
33309 17693 5030267
59522 6456 86802
20137 6088 496434043
73721 39285 3854710
78947 32677 560099382
44341 31961 81661736
88338 33836 99314163
91044 3617 96481
70785 17022 5687486
77386 10176 3051935
298 52 917339878
62203 16263 237513251
10408 3671 319101
52685 13443 79538
69152 35482 450901211
87475 47364 79499764
65739 3336 73048732
94478 17572 34508824
50103 3599 15965
42244 4307 62222
62006 17152 20940419
80510 61251 33291
6329 4030 94580
67789 248 657103433
29600 13385 68923
73605 2828 2302468
68005 64309 789992
4834 4454 8844094
64590 24150 8703118
35756 10799 97243
54675 21119 9389636
17098 8595 106356934
48301 36837 852655813
6592 3581 17018923
19486 17532 910800
97793 43337 84443963
76472 27338 73704
79190 6227 89963
6496 5640 29008212
